"","info_enc_30","info_enc_30_otro","mesp_112","mesp_113","esp_1","esp_8","esp_9","esp_69","esp_114_a","esp_114_b","esp_4","esp_49","esp_50","esp_55_a","esp_55_b","esp_115","mesp_116","mesp_117","mesp_117_1","mesp_117_2","esp_40_a","esp_40_b","esp_87","esp_88","iden_pol_2","democracia_21","democracia_19","pobreza_62","pobreza_63","medio_ambiente_37","mtf_42_d","mtf_43_b","interes_pol_1_b","esp_44","confianza_6_c","confianza_6_j","confianza_6_d","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_a","confianza_6_b","confianza_6_g","confianza_6_y","confianza_6_m","confianza_6_ab","confianza_6_ac","confianza_6_ad","confianza_6_ae","confianza_6_af","esp_89_a","esp_89_b","esp_89_c","esp_120_a","esp_120_b","esp_120_c","confianza_8_a","mesp_90_1","mesp_90_2","mesp_90_3","mesp_11_q","mesp_11_b","mesp_11_c","mesp_11_p","mesp_11_r","constitucion_5_a","constitucion_5_b","constitucion_5_c","esp_91_a","esp_91_b","esp_91_d","esp_91_e","esp_91_f","esp_122","mesp_36_a","mesp_36_b","mesp_36_e","mesp_36_f","nmesp_36_aa","nmesp_36_bb","nmesp_36_ee","nmesp_36_ff","esp_92_a","esp_92_b","esp_92_c","esp_92_d","esp_92_e","esp_92_f","esp_92_g","esp_93_a","esp_93_b","esp_93_c","esp_93_d","esp_93_e","esp_93_f","esp_93_g","esp_126_1","esp_126_2","percepcion_1_a","percepcion_1_b","percepcion_1_c","esp_127_1","esp_127_2","esp_127_3","esp_127_4","esp_94_a","esp_94_b","esp_94_c","esp_94_d","esp_94_e","esp_94_f","esp_94_g","esp_94_h","esp_94_i","esp_94_j","esp_129","esp_130","esp_95","esp_96_1","esp_96_2","esp_97","esp_131","esp_132","esp_133_a","esp_133_b","esp_134","esp_135_a","esp_135_b","esp_136","esp_137_a","esp_137_b","esp_138_a","esp_138_b","esp_139","esp_140","esp_141_a","esp_141_b","esp_142_a","esp_142_b","esp_142_c","esp_143_a","esp_143_b","esp_143_c","esp_143_d","uesp_143_e","resp_143_e","esp_143_f","esp_111_d","rol_gobierno_27","esp_17","esp_145_1","esp_145_2","esp_146_a","esp_146_b","esp_146_c","esp_146_d","esp_147_a","esp_147_b","esp_147_c","esp_147_d","esp_147_e","esp_148_a","esp_148_b","esp_148_c","esp_148_d","esp_148_e","esp_148_f","esp_148_g","esp_148_h","esp_148_i","esp_148_j","sexo","edad","estado_civil","info_enc_29","info_enc_23","esc_nivel_1","info_enc_12_b","mesp_73","mesp_149","mesp_150","mesp_151","rmesp_152","esp_153","info_enc_1_a_1","info_enc_1_a_2","info_enc_57","info_hogar_17","religion_82","religion_2","bienestar_21","interes_pol_2_c","interes_pol_2_d","interes_pol_2_e","info_hogar_1_a","info_hogar_2_b","info_hogar_2_c","info_hogar_32","info_hogar_33","info_hogar_21_n","info_enc_60","info_enc_52","info_enc_54","gse","muestra","zona_u_r","id_region","region","id_estrato","estrato","encuesta","encuesta_a","encuesta_m","secu","pond"
"1",5,NA,2,NA,1,3,1,1,2,NA,NA,NA,NA,NA,1,2,5,2,NA,NA,3,2,10,2,1,2,1,1,10,9,1,1,5,1,1,3,1,1,3,4,1,4,1,4,4,1,4,2,3,1,2,2,1,88,NA,NA,NA,NA,NA,3,88,NA,NA,3,7,7,7,7,2,NA,3,1,6,6,4,6,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,7,11,6,88,NA,NA,NA,1,1,3,1,2,1,1,3,3,3,1,5,9,88,NA,1,2,1,1,3,1,2,3,1,1,1,1,1,1,1,1,6,6,6,2,1,1,2,2,7,NA,2,1,1,3,NA,NA,1,5,1,5,1,1,1,1,3,5,5,5,5,5,5,5,5,3,3,2,49,4,1,2,1,5,2,4,1,2,NA,3,66666,10,2,2,2,2,2,3,3,3,3,0,0,2,1,2,1,100,1,4,1,1,10,"LOS LAGOS","6","Costa sur",87,2022,7,87118,2.34249452
"2",5,NA,1,9,1,2,3,2,1,1,2,1,1,3,NA,1,1,2,NA,NA,2,3,10,2,4,2,1,6,7,8,2,4,5,2,3,4,3,4,3,3,2,3,3,4,4,3,3,2,4,4,2,4,2,1,NA,NA,1,NA,NA,4,99,NA,NA,3,1,1,1,1,1,1,NA,6,6,6,6,5,8,1,1,1,1,NA,NA,NA,NA,1,5,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,99,NA,1,6,10,99,NA,NA,NA,4,4,3,3,3,3,4,3,4,3,2,5,1,1,NA,1,2,99,2,NA,1,7,NA,1,2,2,2,2,1,1,1,NA,6,6,6,2,2,2,2,NA,2,2,2,1,2,99,NA,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,5,2,35,4,1,2,4,9,1,NA,1,2,2,2,66666,10,1,NA,9,9,2,2,2,2,1,2,2,2,3,2,1,100,1,3,1,2,14,"LOS RÍOS","8","Percordillera sur",87,2022,7,87520,0.3496257
"3",5,NA,2,NA,2,3,7,2,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,10,4,88,3,3,10,5,6,1,3,4,5,2,4,4,3,3,3,4,3,3,3,4,4,3,4,1,4,3,1,1,2,88,NA,NA,NA,NA,NA,4,88,NA,NA,3,7,7,7,7,2,NA,3,4,4,6,8,5,8,1,1,8,8,NA,NA,NA,NA,2,5,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,1,NA,7,2,3,88,NA,NA,NA,4,3,3,4,4,2,4,4,8,8,3,4,8,1,NA,3,3,NA,NA,NA,3,NA,NA,2,3,3,2,2,88,88,3,8,8,6,2,1,2,2,2,7,NA,2,7,2,2,1,NA,5,5,4,5,2,5,5,4,5,4,5,5,5,4,5,5,5,2,4,1,18,4,2,1,4,7,2,4,1,2,NA,3,55555,10,2,3,9,9,88,3,2,2,2,1,0,2,1,2,1,100,1,4,1,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87116,3.69891901
"4",5,NA,2,NA,2,5,5,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,10,4,10,3,6,1,1,10,5,1,5,5,3,1,3,3,3,3,3,3,3,3,2,3,4,3,3,2,3,4,88,4,2,88,NA,NA,NA,NA,NA,4,88,NA,NA,4,2,2,2,2,2,NA,88,3,5,5,5,4,4,4,5,4,5,NA,NA,NA,NA,4,3,2,2,3,2,2,1,2,2,2,1,1,1,1,NA,16,7,8,1,2,NA,NA,2,2,8,2,8,2,2,8,8,8,3,4,10,88,NA,3,3,NA,NA,NA,4,NA,NA,4,3,3,2,3,88,88,1,4,5,4,4,1,1,2,2,2,NA,2,3,2,2,1,NA,5,5,5,5,3,4,3,3,4,5,5,5,5,5,5,5,5,5,4,2,18,4,1,1,4,7,2,4,1,2,NA,1,55555,10,2,9,1,9,1,2,2,2,2,1,0,1,1,2,1,100,88,3,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87079,1.25425166
"5",5,NA,1,1,1,5,1,1,1,2,5,NA,NA,1,NA,1,4,3,NA,NA,10,9,6,3,5,2,10,6,7,1,5,5,3,1,1,2,1,1,2,1,2,1,1,3,1,3,1,1,2,3,2,1,1,88,NA,NA,NA,NA,NA,4,1,NA,NA,88,2,1,2,1,2,NA,3,6,6,6,5,5,7,1,1,1,1,NA,NA,NA,NA,4,4,1,3,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,3,10,7,1,2,NA,NA,1,3,2,3,3,1,1,1,3,3,3,3,6,1,NA,3,3,NA,NA,NA,2,7,2,4,3,2,3,2,1,1,1,3,2,4,4,1,1,2,1,7,NA,2,1,2,3,NA,NA,5,5,3,5,3,5,5,4,3,1,5,5,5,5,5,5,5,5,5,1,18,4,1,2,4,5,2,2,1,2,NA,3,9333,9,2,5,2,7,2,2,2,2,3,1,0,2,1,2,1,100,1,4,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87060,1.65859722
"6",5,NA,1,2,1,4,7,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,9,4,1,4,1,5,5,5,3,4,5,3,2,2,3,3,3,3,3,3,3,1,4,1,2,2,3,3,4,2,2,2,1,NA,NA,2,NA,NA,4,1,NA,NA,2,7,7,7,7,1,4,NA,4,6,4,5,4,7,1,5,1,4,NA,NA,NA,NA,5,5,1,1,3,1,1,1,2,NA,NA,1,NA,NA,1,NA,1,5,16,88,NA,NA,NA,1,1,2,2,2,1,1,1,2,1,3,5,5,1,NA,3,1,88,3,1,2,9,10,5,3,3,3,1,1,88,3,1,5,2,1,1,1,1,1,7,NA,1,7,2,3,NA,NA,4,5,5,5,2,4,4,4,5,4,5,5,5,5,5,5,5,5,5,2,18,4,1,1,4,7,2,3,1,2,NA,3,55555,10,2,5,2,8,3,1,1,3,2,0,0,2,1,2,1,100,1,3,1,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87112,1.51356115
"7",11,2,1,4,1,2,7,1,1,2,2,1,2,1,NA,1,2,2,NA,NA,5,4,8,3,88,1,7,9,10,1,2,2,4,1,3,4,4,3,4,3,3,2,1,4,4,1,2,1,4,4,1,4,2,88,NA,NA,NA,NA,NA,4,88,NA,NA,3,1,1,1,1,1,88,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,11,13,17,1,2,NA,NA,1,2,1,2,1,1,8,1,1,1,2,5,10,88,NA,6,2,88,5,NA,2,7,NA,2,3,3,3,2,1,1,1,NA,6,6,6,2,2,2,2,7,NA,2,7,1,3,NA,NA,5,5,5,5,8,5,5,5,5,5,2,5,5,5,5,5,2,2,5,1,18,4,1,1,4,7,1,NA,3,2,NA,2,55555,10,1,NA,9,9,2,3,3,3,2,0,0,1,1,2,1,100,88,3,1,1,9,"ARAUCANÍA","4","Precordillera norte",87,2022,7,87096,0.87429203
"8",5,NA,1,99,2,3,88,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,4,1,4,1,6,1,8,6,6,1,4,4,2,1,3,3,2,4,3,3,3,3,2,4,4,3,3,1,3,3,3,3,3,1,NA,NA,3,NA,NA,4,99,NA,NA,3,88,88,2,88,1,88,NA,6,6,6,6,5,2,1,1,1,1,NA,NA,NA,NA,3,2,2,2,2,2,2,1,3,1,3,1,1,1,1,NA,10,5,1,1,2,NA,NA,2,2,2,2,3,2,2,1,2,2,2,4,5,1,NA,1,1,1,1,3,3,NA,NA,4,4,4,1,1,1,1,1,9,2,2,1,1,1,1,2,2,NA,1,4,2,3,NA,NA,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,18,4,1,2,6,2,2,1,1,2,NA,3,99999,10,1,NA,10,9,3,1,1,1,2,0,0,2,1,1,1,100,1,2,1,1,14,"LOS RÍOS","6","Costa sur",87,2022,7,87152,0.3770239
"9",5,NA,2,NA,2,3,7,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,3,6,1,5,1,4,8,4,1,5,5,4,2,3,3,1,2,2,2,2,2,2,3,3,2,3,2,3,3,3,3,2,88,NA,NA,NA,NA,NA,2,88,NA,NA,3,7,7,7,7,2,NA,3,6,6,6,6,5,5,1,1,1,1,NA,NA,NA,NA,4,5,1,2,1,1,1,1,1,NA,1,NA,NA,NA,88,NA,10,17,5,88,NA,NA,NA,1,2,3,3,2,2,3,3,3,4,2,4,4,88,NA,3,2,88,3,1,3,NA,NA,4,2,3,2,3,88,1,2,9,5,4,4,2,1,1,2,7,NA,2,7,1,3,NA,NA,3,5,4,5,3,5,5,3,5,2,5,5,5,4,5,5,3,5,5,2,18,4,1,1,4,7,2,4,1,2,NA,3,55555,10,2,8,1,9,2,2,1,1,2,1,1,2,1,2,1,100,1,3,1,1,14,"LOS RÍOS","6","Costa sur",87,2022,7,87155,0.3606483
"10",5,NA,2,NA,2,1,7,1,2,NA,NA,NA,NA,NA,1,2,5,2,NA,NA,10,8,7,1,99,2,99,7,5,3,1,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,NA,NA,NA,NA,NA,3,88,NA,NA,88,6,6,6,6,2,NA,99,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,2,7,6,16,88,NA,NA,NA,1,3,1,1,4,1,1,1,1,3,1,5,1,88,NA,3,2,88,5,NA,2,5,7,1,2,2,1,1,99,99,8,9,6,6,6,2,2,2,2,2,NA,2,4,2,2,1,NA,3,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,3,5,1,1,18,4,1,1,3,7,2,4,1,2,NA,3,NA,NA,2,4,9,9,2,3,3,3,3,2,0,1,1,2,1,100,88,4,1,1,8,"BIOBÍO","1","Norte",87,2022,7,87025,1.60209595
"11",5,NA,2,NA,2,5,7,1,2,NA,NA,NA,NA,NA,1,2,4,2,NA,NA,9,10,5,3,6,1,10,6,7,1,4,5,4,1,2,3,3,2,3,3,2,3,2,3,3,2,2,2,3,2,2,2,2,88,NA,NA,NA,NA,NA,3,88,NA,NA,88,6,6,6,6,2,NA,99,6,6,6,3,5,4,1,1,1,1,NA,NA,NA,NA,3,5,1,2,2,1,1,1,1,NA,1,1,NA,NA,1,2,10,7,5,1,2,NA,NA,1,1,1,3,4,1,1,1,3,3,2,5,7,1,2,5,1,1,5,2,2,3,11,4,3,2,3,3,1,88,6,NA,6,6,6,1,1,2,2,7,NA,2,2,2,2,1,NA,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,18,4,1,1,5,7,2,2,1,2,NA,3,NA,NA,2,9,9,9,2,3,3,3,2,0,0,1,1,2,1,100,88,3,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87080,0.83916479
"12",5,NA,1,4,2,5,1,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,3,10,1,5,2,10,7,7,6,3,3,5,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,1,1,1,1,1,1,1,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,2,2,2,2,2,2,2,1,1,1,1,1,1,1,88,NA,7,6,NA,88,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,5,7,88,NA,1,1,88,88,NA,2,7,4,88,2,2,2,2,88,88,1,2,6,5,6,2,2,2,2,NA,2,2,4,1,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,18,4,1,1,4,5,2,1,1,2,1,3,5249,5,2,3,9,9,1,3,3,3,1,0,1,1,1,2,1,100,99,3,1,2,8,"BIOBÍO","3","Valle central",87,2022,7,87422,0.75772066
"13",5,NA,2,NA,2,3,7,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,2,3,1,1,3,1,10,10,10,1,2,2,3,1,2,2,2,4,2,3,2,2,2,3,2,88,2,2,2,3,2,2,2,88,NA,NA,NA,NA,NA,1,88,NA,NA,2,2,2,2,2,2,NA,88,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,88,NA,3,NA,NA,88,NA,NA,NA,1,3,3,4,2,2,3,2,3,4,1,5,1,1,2,1,1,88,4,NA,3,NA,NA,3,2,2,2,2,99,99,3,NA,6,6,6,2,2,2,2,NA,2,2,3,1,3,NA,NA,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,18,4,1,2,2,1,2,1,1,2,4,3,9211,9,2,4,2,9,1,3,3,3,1,1,0,1,1,2,1,100,99,3,1,2,8,"BIOBÍO","4","Precordillera norte",87,2022,7,87424,0.1655897
"14",5,NA,2,NA,1,2,1,1,1,1,3,1,6,1,NA,1,5,3,NA,NA,3,10,1,1,5,1,10,10,10,1,2,3,5,1,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,2,88,2,2,3,2,NA,5,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,2,2,2,2,2,2,2,1,1,1,1,1,1,1,88,NA,1,11,6,88,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,4,5,1,88,NA,1,2,1,3,NA,5,NA,NA,5,4,4,3,3,1,88,1,7,6,6,6,2,2,2,2,2,NA,2,3,1,3,NA,NA,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,18,4,1,2,4,5,2,1,1,2,NA,3,99999,10,2,5,2,9,1,3,3,3,1,0,1,1,1,2,1,100,88,3,1,1,8,"BIOBÍO","4","Precordillera norte",87,2022,7,87054,1.53413549
"15",5,NA,1,9,1,2,7,2,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,NA,5,3,5,1,5,8,7,5,4,4,1,1,3,3,3,2,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,1,NA,NA,1,NA,NA,3,1,NA,NA,3,7,7,7,7,2,NA,88,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,4,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,17,3,1,1,2,NA,NA,1,4,3,3,4,1,4,1,4,4,5,1,10,1,NA,6,3,NA,NA,NA,5,NA,NA,5,4,2,3,3,1,88,1,NA,6,6,6,2,2,1,1,NA,7,2,1,1,3,NA,NA,4,5,5,5,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,1,18,4,1,1,4,7,2,4,1,2,4,3,55555,10,2,3,9,9,2,3,3,3,1,0,0,1,4,2,1,100,88,3,1,2,8,"BIOBÍO","2","Costa norte",87,2022,7,87419,0.93328813
"16",5,NA,1,11,2,3,7,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,4,1,9,2,88,1,10,10,10,1,2,5,4,1,2,2,3,2,2,3,2,88,2,88,2,3,2,2,3,2,2,3,88,1,NA,NA,3,NA,NA,4,99,NA,NA,88,88,88,88,88,2,NA,4,6,6,6,6,6,NA,1,1,1,8,NA,NA,NA,NA,5,5,1,2,4,1,2,1,1,NA,1,1,NA,1,1,NA,12,3,1,88,NA,NA,NA,1,8,8,3,2,3,2,1,1,2,1,3,9,1,2,3,1,1,3,4,2,7,1,2,5,1,3,3,1,1,6,1,6,6,6,1,1,2,2,NA,7,2,2,2,3,NA,NA,3,4,4,3,3,3,3,3,4,4,4,8,4,2,3,3,3,3,3,1,19,4,1,2,4,5,2,1,1,2,2,3,55555,10,2,2,2,3,3,2,2,2,3,0,0,2,1,2,1,100,99,4,1,2,9,"ARAUCANÍA","5","Precordillera central",87,2022,7,87465,2.36541193
"17",5,NA,2,NA,2,3,7,2,2,NA,NA,NA,NA,NA,1,2,3,2,NA,NA,4,13,4,2,5,3,1,8,10,1,5,5,3,1,3,3,3,4,3,3,3,3,3,2,4,3,3,2,3,3,4,4,4,88,NA,NA,NA,NA,NA,3,88,NA,NA,88,7,7,7,7,1,3,NA,5,5,6,5,4,4,1,1,1,1,NA,NA,NA,NA,3,5,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,1,2,10,5,16,1,2,NA,NA,1,1,2,3,3,1,2,1,1,1,2,5,7,88,NA,1,1,1,3,NA,2,3,6,5,5,4,3,3,1,1,1,NA,5,6,5,1,1,2,2,2,NA,2,4,2,3,NA,NA,5,5,5,5,4,5,2,5,5,2,5,4,5,4,5,5,3,4,4,2,19,4,1,1,7,1,2,4,1,2,NA,1,5230,5,2,2,1,5,3,2,3,1,2,1,0,2,1,2,1,100,1,4,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87072,0.70308401
"18",5,NA,1,11,2,1,7,1,2,NA,NA,NA,NA,NA,1,2,5,3,NA,NA,2,3,5,3,5,1,10,7,5,4,4,4,4,1,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3,3,88,NA,NA,NA,NA,NA,1,88,NA,NA,3,7,7,7,7,2,NA,6,6,6,6,6,5,1,1,1,1,1,NA,NA,NA,NA,4,4,1,2,3,1,1,1,1,NA,1,1,NA,NA,1,2,2,5,10,1,2,NA,NA,1,1,2,2,3,2,2,2,3,2,3,3,7,1,NA,77,3,NA,NA,NA,3,NA,NA,5,4,3,3,2,1,1,10,NA,6,6,4,2,2,2,2,7,NA,2,2,2,3,NA,NA,3,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,5,3,3,1,19,4,1,1,7,7,2,4,1,2,NA,3,55555,10,2,5,9,9,1,2,1,2,3,2,1,2,1,2,1,100,1,4,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87072,1.78187134
"19",5,NA,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,88,NA,1,1,4,1,10,10,5,5,5,5,3,1,4,4,4,3,4,3,4,4,2,4,4,3,2,3,4,4,4,4,4,1,NA,NA,8,NA,NA,3,1,NA,NA,2,6,2,6,6,1,88,NA,6,6,6,6,6,NA,1,4,1,9,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,11,17,1,2,NA,NA,1,1,1,1,1,1,8,1,1,1,1,5,5,1,NA,1,2,99,3,NA,1,1,3,1,1,4,3,3,99,99,99,NA,5,5,5,2,2,2,2,2,NA,2,4,2,9,NA,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,19,4,1,1,3,99,2,4,1,2,NA,3,NA,NA,2,89,99,99,99,3,3,3,3,0,0,2,1,2,2,100,1,4,1,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87119,2.75846519
"20",5,NA,1,11,2,4,7,2,2,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,3,5,4,1,6,1,5,7,5,3,5,5,3,2,3,3,3,3,3,3,3,3,2,4,4,3,2,3,2,3,4,3,3,1,NA,NA,9,NA,NA,3,1,NA,NA,3,2,2,2,2,1,6,NA,6,6,6,5,5,1,1,1,1,1,NA,NA,NA,NA,4,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,10,17,3,1,2,NA,NA,1,1,4,2,2,2,1,2,3,4,3,4,10,1,NA,5,3,NA,NA,NA,5,NA,NA,5,3,2,1,1,1,1,1,3,5,6,4,2,1,2,2,7,NA,1,7,2,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,19,4,1,1,7,7,1,NA,3,2,NA,3,55555,10,2,8,9,9,2,3,2,2,3,0,0,2,1,2,1,100,1,4,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87066,1.39361296
"21",5,NA,1,11,2,3,7,2,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,4,9,4,3,3,1,7,5,3,2,5,5,3,88,3,4,3,3,3,3,3,88,3,4,4,2,2,3,3,3,3,3,88,99,NA,NA,NA,NA,NA,3,99,NA,NA,99,99,99,2,99,2,NA,88,5,6,6,5,6,5,1,1,1,1,NA,NA,NA,NA,4,5,1,1,3,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,5,7,1,2,NA,NA,1,1,1,2,3,1,1,1,8,1,2,4,5,99,NA,3,3,NA,NA,NA,5,NA,NA,5,3,3,2,2,1,99,2,8,6,4,4,2,2,2,2,7,NA,2,7,2,3,NA,NA,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,2,19,4,1,1,7,7,2,2,2,2,NA,3,55555,10,2,5,9,9,2,3,2,2,5,1,0,2,1,2,1,100,1,4,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87061,1.71791283
"22",5,NA,2,NA,3,1,7,2,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,11,10,8,1,5,1,5,6,5,4,4,4,3,1,1,3,3,2,2,3,2,2,2,2,2,2,2,2,2,3,1,2,2,88,NA,NA,NA,NA,NA,3,1,NA,NA,2,7,7,7,7,2,NA,3,6,6,5,6,2,6,1,1,1,1,NA,NA,NA,NA,3,5,1,2,2,1,1,2,3,NA,2,1,NA,NA,1,2,2,26,8,88,NA,NA,NA,1,2,3,3,3,2,2,2,2,2,2,3,5,1,2,1,2,88,3,NA,2,7,2,3,3,2,3,2,88,1,2,1,6,6,5,2,2,2,2,7,NA,1,2,2,2,1,NA,3,4,5,5,2,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,19,4,1,1,3,7,2,4,1,2,NA,1,55555,10,2,4,9,9,2,1,2,2,3,1,0,2,1,1,1,100,1,4,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87064,1.79155542
"23",5,NA,2,NA,1,3,7,1,2,NA,NA,NA,NA,NA,1,2,5,3,NA,NA,3,1,1,1,5,1,1,10,10,1,4,4,4,1,2,4,2,2,3,2,3,3,2,4,3,2,3,2,3,3,2,3,88,88,NA,NA,NA,NA,NA,3,88,NA,NA,3,7,7,7,7,1,2,NA,4,5,6,5,6,4,4,1,8,1,NA,NA,NA,NA,4,5,2,2,4,1,1,2,3,1,1,1,NA,NA,1,2,1,5,8,88,NA,NA,NA,2,2,3,3,3,2,1,2,3,2,1,5,10,88,NA,6,3,NA,NA,NA,4,NA,NA,4,4,2,3,2,88,88,2,1,6,6,5,1,1,1,2,7,NA,2,2,1,3,NA,NA,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,19,4,1,2,4,1,2,1,1,2,NA,3,99999,10,2,7,9,9,2,3,1,1,2,1,0,1,1,2,1,100,88,3,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87080,1.41783311
"24",5,NA,1,9,2,3,1,1,1,2,4,3,NA,1,NA,1,1,2,NA,NA,2,5,5,2,5,3,10,1,2,5,4,4,3,1,2,4,2,2,4,4,4,3,3,2,2,4,4,2,2,2,3,3,2,88,NA,NA,NA,NA,NA,3,88,NA,NA,4,4,1,3,6,2,NA,5,5,6,6,6,6,88,1,1,1,1,NA,NA,NA,NA,5,5,3,3,3,3,3,1,1,1,1,1,1,1,88,NA,1,6,10,88,NA,NA,NA,1,3,4,2,3,2,3,4,3,4,2,2,5,1,2,4,1,88,4,8,3,NA,NA,3,3,4,1,2,88,88,3,6,6,6,6,2,2,2,2,NA,7,2,1,2,1,NA,NA,1,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,2,19,4,1,2,4,7,1,NA,3,2,2,3,88888,10,2,2,1,4,2,3,3,3,2,0,0,2,1,2,1,100,1,4,1,2,9,"ARAUCANÍA","3","Valle central",87,2022,7,87452,0.47659911
"25",5,NA,1,11,2,3,4,1,2,NA,NA,NA,NA,NA,1,2,5,2,NA,NA,2,4,5,1,5,1,6,4,5,1,3,2,4,1,2,3,1,2,3,2,2,1,2,4,1,2,2,1,3,3,2,2,2,88,NA,NA,NA,NA,NA,3,88,NA,NA,2,6,6,88,6,2,NA,5,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,4,1,3,1,1,1,1,1,NA,1,NA,NA,NA,88,NA,9,11,4,1,2,3,4,1,3,4,3,3,1,1,1,1,3,1,2,5,1,NA,3,1,1,5,3,4,NA,NA,4,3,4,2,2,1,1,1,4,6,6,6,2,2,2,2,NA,7,2,1,1,1,NA,NA,4,3,4,4,3,3,4,4,3,4,4,3,3,4,3,3,4,4,3,2,19,4,1,2,4,9,1,NA,1,2,1,3,9411,9,2,5,2,3,1,3,3,2,1,0,0,2,1,2,1,100,1,3,1,2,9,"ARAUCANÍA","3","Valle central",87,2022,7,87454,0.6589777
